OpenMP Region / Function / Call Stack,CPU_CLK_UNHALTED.REF_TSC,CYCLES_NO_EXECUTE,L3_MISS_RETIRED.LOCAL_DRAM_PS,L3_HIT,L3_HIT_PS,L3_MISS,L3_MISS_PS,L2_MISS_PS,L2_HIT_PS,Elapsed Time
 :4@unknown:100:110,66034099051,55912083868,56401692,56623772,66003960,60801824,54803288,8909540436,6364990944,5.99821
 :4@unknown:120:130,63502095253,51280076920,49201476,64627132,73004380,56001680,55003300,10039014616,7283418496,5.74164
 :4@unknown:139:148,56928085392,44456066684,46001380,54222764,50003000,47201416,43002580,12923425560,7615028444,5.11971
 :4@unknown:158:167,54056081084,42912064368,36001080,27611592,26201572,28000840,29801788,6672801400,5520565612,4.85237
 :4@unknown:176:185,47968071952,36528054792,26800804,15406468,18801128,32000960,29201752,10312529444,5116953504,4.37159
 :4@unknown:194:203,48572072858,38544057816,39601188,48620412,46002760,47201416,43202592,17188816272,9711491336,4.3749
 :4@unknown:227:239,19916029874,13000019500,4800144,4201764,5200312,5600168,4400264,507613108,373611208,1.81972
 :4@unknown:252:268,28788043182,17488026232,7600228,6402688,5600336,9200276,11200672,860361200,238007140,2.59702
 :4@unknown:282:291,20768031152,15728023592,22000660,13605712,15400924,24400732,22601356,4807218184,839225176,1.91081
 :4@unknown:307:354,116680175020,39944059916,11600348,10004200,7000420,14400432,13400804,561235620,952028560,10.438
 :4@unknown:372:388,18100027150,9200013800,48401452,142859976,160209612,48001440,52203132,34487678744,16541296224,1.71614
 :4@unknown:406:418,19188028782,12264018396,2400072,7603192,6800408,5200156,3800228,673482744,837225116,1.77347
 :4@unknown:430:445,25904038856,14968022452,4400132,8003360,6800408,8000240,5600336,941395220,132403972,2.31389
 :4@unknown:457:465,21610032415,16112024168,60001800,33814196,28201692,58001740,50803048,16466713116,2297668928,2.00316
 :4@unknown:480:515,99912149868,31024046536,14400432,10004200,9400564,14400432,13000780,249904916,233206996,8.95026
 :4@unknown:535:551,18022027033,8160012240,40801224,175673752,147808868,36801104,36602196,24365029016,10327909828,1.69639
 :4@unknown:565:577,19596029394,12672019008,4400132,4201764,4800288,4400132,5400324,129854516,680020400,1.79115
 :4@unknown:589:604,28500042750,16872025308,10000300,6402688,7200432,10800324,7000420,646871572,189205676,2.57975
 :4@unknown:616:625,22254033381,17080025620,54001620,55023100,55403324,54001620,66403984,21317549612,7042611272,2.02743
 :4@unknown:640:674,104962157443,36560054840,22400672,28411928,25801548,17200516,17001020,783929112,606418192,9.40298
 :4@unknown:694:710,18144027216,8552012828,30000900,157266024,168810128,36801104,37002220,27266647184,10805524156,1.68495
